Dia de Din Instante;Mês de Din Instante;Val Geraenergiaconmwmed
18;dezembro de 2017;0,96125
19;dezembro de 2017;0,851375
20;dezembro de 2017;0,84816666
21;dezembro de 2017;1,04266666
22;dezembro de 2017;0,97420833
23;dezembro de 2017;0,48166666
24;dezembro de 2017;0,589625
25;dezembro de 2017;1,19704166
26;dezembro de 2017;1,08275
27;dezembro de 2017;1,202
28;dezembro de 2017;1,07529166
29;dezembro de 2017;1,23295833
30;dezembro de 2017;1,206875
31;dezembro de 2017;1,21608333
1;novembro de 2017;0,96120833
2;novembro de 2017;1,296375
3;novembro de 2017;1,17820833
4;novembro de 2017;1,16195833
5;novembro de 2017;0,3675
6;novembro de 2017;1,29120833
7;novembro de 2017;1,17908333
8;novembro de 2017;0,72633333
9;novembro de 2017;1,04141666
10;novembro de 2017;1,28958333
11;novembro de 2017;1,27833333
12;novembro de 2017;1,13841666
13;novembro de 2017;1,06891666
14;novembro de 2017;0,99479166
15;novembro de 2017;0,85608333
16;novembro de 2017;1,27591666
17;novembro de 2017;0,95454166
18;novembro de 2017;1,16583333
19;novembro de 2017;1,10675
20;novembro de 2017;1,300125
21;novembro de 2017;1,30854166
22;novembro de 2017;1,23529166
23;novembro de 2017;1,18679166
24;novembro de 2017;1,06916666
25;novembro de 2017;0,915875
26;novembro de 2017;1,181875
27;novembro de 2017;1,29558333
28;novembro de 2017;1,24116666
29;novembro de 2017;1,09416666
30;novembro de 2017;1,05970833
1;outubro de 2017;0
2;outubro de 2017;0
3;outubro de 2017;0,00016666
4;outubro de 2017;0,7695
5;outubro de 2017;0,73125
6;outubro de 2017;0,99020833
7;outubro de 2017;1,02495833
8;outubro de 2017;0,87470833
9;outubro de 2017;0,89854166
10;outubro de 2017;1,06933333
11;outubro de 2017;0,86766666
12;outubro de 2017;1,01720833
13;outubro de 2017;1,1445
14;outubro de 2017;1,19829166
15;outubro de 2017;1,36721739
16;outubro de 2017;1,309875
17;outubro de 2017;1,15741666
18;outubro de 2017;1,05583333
19;outubro de 2017;1,28375
20;outubro de 2017;0,83658333
21;outubro de 2017;1,06570833
22;outubro de 2017;1,07341666
23;outubro de 2017;1,07679166
24;outubro de 2017;0,948375
25;outubro de 2017;1,02720833
26;outubro de 2017;0,74516666
27;outubro de 2017;1,074
28;outubro de 2017;1,13875
29;outubro de 2017;1,29854166
30;outubro de 2017;1,296
31;outubro de 2017;1,071375
1;setembro de 2017;0,82566666
2;setembro de 2017;1,14483333
3;setembro de 2017;1,044875
4;setembro de 2017;0,67616666
5;setembro de 2017;0,85370833
6;setembro de 2017;0,91695833
7;setembro de 2017;0,85441666
8;setembro de 2017;1,0275
9;setembro de 2017;0,77170833
10;setembro de 2017;0,81866666
11;setembro de 2017;0,70070833
12;setembro de 2017;0,923625
13;setembro de 2017;0,71845833
14;setembro de 2017;0,70966666
15;setembro de 2017;0,57058333
16;setembro de 2017;0,75316666
17;setembro de 2017;1,01966666
18;setembro de 2017;0,93520833
19;setembro de 2017;0,89670833
20;setembro de 2017;0,88716666
21;setembro de 2017;0,67133333
22;setembro de 2017;0,288
23;setembro de 2017;0,48933333
24;setembro de 2017;0,6385
25;setembro de 2017;0,68670833
26;setembro de 2017;0,490375
27;setembro de 2017;0,03329166
28;setembro de 2017;0
29;setembro de 2017;0
30;setembro de 2017;0
1;agosto de 2017;0,89758333
2;agosto de 2017;0,84083333
3;agosto de 2017;1,02304166
4;agosto de 2017;1,28295833
5;agosto de 2017;1,26208333
6;agosto de 2017;0,91675
7;agosto de 2017;1,10129166
8;agosto de 2017;0,88745833
9;agosto de 2017;0,667
10;agosto de 2017;1,151375
11;agosto de 2017;1,25279166
12;agosto de 2017;1,11545833
13;agosto de 2017;1,087875
14;agosto de 2017;1,061875
15;agosto de 2017;1,29
16;agosto de 2017;0,97166666
17;agosto de 2017;1,14933333
18;agosto de 2017;1,09066666
19;agosto de 2017;0,74275
20;agosto de 2017;0,68716666
21;agosto de 2017;1,18695833
22;agosto de 2017;0,78225
23;agosto de 2017;0,44504166
24;agosto de 2017;0,60533333
25;agosto de 2017;0,71183333
26;agosto de 2017;1,08608333
27;agosto de 2017;1,095875
28;agosto de 2017;0,49929166
29;agosto de 2017;0,63691666
30;agosto de 2017;0,847
31;agosto de 2017;1,263
1;julho de 2017;0,45191666
2;julho de 2017;0,886875
3;julho de 2017;0,60575
4;julho de 2017;0,36508333
5;julho de 2017;0,30429166
6;julho de 2017;0,59670833
7;julho de 2017;0,492125
8;julho de 2017;0,39429166
9;julho de 2017;0,502
10;julho de 2017;0,80154166
11;julho de 2017;0,344625
12;julho de 2017;0,59870833
13;julho de 2017;0,627875
14;julho de 2017;1,01683333
15;julho de 2017;0,76229166
16;julho de 2017;0,95441666
17;julho de 2017;0,90741666
18;julho de 2017;0,65545833
19;julho de 2017;0,482125
20;julho de 2017;0,46241666
21;julho de 2017;0,458875
22;julho de 2017;0,795625
23;julho de 2017;0,224625
24;julho de 2017;0,44358333
25;julho de 2017;0,79195833
26;julho de 2017;0,71958333
27;julho de 2017;0,51754166
28;julho de 2017;0,618375
29;julho de 2017;0,90316666
30;julho de 2017;0,511375
31;julho de 2017;1,04020833
1;junho de 2017;0,574875
2;junho de 2017;0,7355
3;junho de 2017;0,65575
4;junho de 2017;0,47654166
5;junho de 2017;0,70666666
6;junho de 2017;0,54766666
7;junho de 2017;0,64520833
8;junho de 2017;0,52266666
9;junho de 2017;1,003875
10;junho de 2017;1,12758333
11;junho de 2017;0,98954166
12;junho de 2017;1,10466666
13;junho de 2017;0,49758333
14;junho de 2017;1,03291666
15;junho de 2017;0,62916666
16;junho de 2017;0,60029166
17;junho de 2017;0,62191666
18;junho de 2017;0,3665
19;junho de 2017;0,63666666
20;junho de 2017;0,51604166
21;junho de 2017;0,42495833
22;junho de 2017;0,73445833
23;junho de 2017;0,46329166
24;junho de 2017;0,63208333
25;junho de 2017;0,76525
26;junho de 2017;0,69883333
27;junho de 2017;0,70925
28;junho de 2017;0,72579166
29;junho de 2017;0,22083333
30;junho de 2017;0,49433333
1;maio de 2017;0,673125
2;maio de 2017;0,52545833
3;maio de 2017;0,44429166
4;maio de 2017;0,470125
5;maio de 2017;0,73933333
6;maio de 2017;0,63304166
7;maio de 2017;1,05625
8;maio de 2017;1,00229166
9;maio de 2017;0,88066666
10;maio de 2017;0,85529166
11;maio de 2017;0,89916666
12;maio de 2017;0,93995833
13;maio de 2017;0,70558333
14;maio de 2017;0,94716666
15;maio de 2017;0,776375
16;maio de 2017;0,91520833
17;maio de 2017;1,02991666
18;maio de 2017;0,7285
19;maio de 2017;0,48933333
20;maio de 2017;0,7995
21;maio de 2017;0,44829166
22;maio de 2017;0,5825
23;maio de 2017;0,67716666
24;maio de 2017;0,359625
25;maio de 2017;0,60675
26;maio de 2017;0,47925
27;maio de 2017;0,24370833
28;maio de 2017;0,57670833
29;maio de 2017;0,67020833
30;maio de 2017;0,72554166
31;maio de 2017;0,449625
1;abril de 2017;0,93154166
2;abril de 2017;0,67466666
3;abril de 2017;0,84075
4;abril de 2017;0,83354166
5;abril de 2017;0,59408333
6;abril de 2017;1,09529166
7;abril de 2017;0,91108333
8;abril de 2017;0,79545833
9;abril de 2017;0,82158333
10;abril de 2017;0,958875
11;abril de 2017;0,63145833
12;abril de 2017;0,80458333
13;abril de 2017;0,680625
14;abril de 2017;0,57591666
15;abril de 2017;0,71604166
16;abril de 2017;0,800125
17;abril de 2017;0,82141666
18;abril de 2017;1,11154166
19;abril de 2017;0,830375
20;abril de 2017;0,72195833
21;abril de 2017;0,99845833
22;abril de 2017;1,182125
23;abril de 2017;1,06654166
24;abril de 2017;0,84233333
25;abril de 2017;0,84729166
26;abril de 2017;0,85958333
27;abril de 2017;1,17058333
28;abril de 2017;1,04541666
29;abril de 2017;0,4175
30;abril de 2017;0,04008333
1;março de 2017;0,93854166
2;março de 2017;0,96991666
3;março de 2017;1,07129166
4;março de 2017;1,16566666
5;março de 2017;1,09945833
6;março de 2017;0,90654166
7;março de 2017;0,92141666
8;março de 2017;0,793
9;março de 2017;0,759625
10;março de 2017;1,15491666
11;março de 2017;0,89554166
12;março de 2017;0,99308333
13;março de 2017;0,962125
14;março de 2017;0,91658333
15;março de 2017;0,714125
16;março de 2017;0,87820833
