Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82689;11/07/2018;0000;;32.6;;6.6;3.9;26.32;79.75;2.166667;
82689;11/07/2018;1200;0;;21.8;;;;;;
82689;12/07/2018;0000;;35.6;;8.9;4.3;28.58;59.5;2.633333;
82689;12/07/2018;1200;0;;21.7;;;;;;
82689;13/07/2018;0000;;33.8;;10.4;7.1;27.04;57.25;3.133333;
82689;13/07/2018;1200;0;;20;;;;;;
82689;14/07/2018;0000;;33.4;;10.3;6.9;24.86;64.5;2.966667;
82689;14/07/2018;1200;0;;18.2;;;;;;
82689;15/07/2018;0000;;34;;10.3;5.5;26.1;66.5;2.833333;
82689;15/07/2018;1200;0;;18.3;;;;;;
82689;16/07/2018;0000;;33.2;;10.4;6;25.98;63.75;1.933333;
82689;16/07/2018;1200;0;;20.5;;;;;;
82689;17/07/2018;0000;;34.5;;10.4;6.3;25.7;58.5;2.233333;
82689;17/07/2018;1200;0;;16.6;;;;;;
82689;18/07/2018;0000;;33.2;;9.7;6.6;26.3;62.5;2.566667;
82689;18/07/2018;1200;0;;18.5;;;;;;
82689;19/07/2018;0000;;34.1;;8.9;6.8;27.94;52.25;3.466667;
82689;19/07/2018;1200;0;;23.5;;;;;;
82689;20/07/2018;0000;;34;;9.9;8.7;27.34;59.75;3.566667;
82689;20/07/2018;1200;0;;24.9;;;;;;
82689;21/07/2018;0000;;34.8;;10.5;7.5;28.26;47.25;3.466667;
82689;21/07/2018;1200;0;;20.5;;;;;;
82689;22/07/2018;0000;;34.8;;7.8;8.6;28.2;56.75;2.633333;
82689;22/07/2018;1200;0;;23.7;;;;;;
82689;23/07/2018;0000;;33.4;;8.6;7.9;27.46;53.5;4.066667;
82689;23/07/2018;1200;0;;22.9;;;;;;
82689;24/07/2018;0000;;32.7;;8.5;10;27.18;58.5;3.633333;
82689;24/07/2018;1200;0;;21.6;;;;;;
82689;25/07/2018;0000;;33.6;;10.2;8.8;27.98;54.25;4.166667;
82689;25/07/2018;1200;0;;22.2;;;;;;
82689;26/07/2018;0000;;34;;10.3;8;28.18;55;3.066667;
82689;26/07/2018;1200;0;;22.1;;;;;;
82689;27/07/2018;0000;;34.5;;10.1;8.2;28.6;61.75;1.933333;
82689;27/07/2018;1200;0;;23.7;;;;;;
82689;28/07/2018;0000;;33.8;;8.9;7.5;28.48;61.25;2.733333;
82689;28/07/2018;1200;0;;24.2;;;;;;
82689;29/07/2018;0000;;34.6;;10.1;7.8;27.82;66;2.033333;
82689;29/07/2018;1200;0;;23.3;;;;;;
82689;30/07/2018;0000;;34.2;;10.7;6.5;25.9;73;1.766667;
82689;30/07/2018;1200;0;;21.1;;;;;;
82689;31/07/2018;0000;;35.6;;10.1;5.2;27.54;72;1.7;
82689;31/07/2018;1200;0;;20.7;;;;;;
82689;01/08/2018;0000;;35.4;;10.5;6.1;27.8;73.25;1.966667;
82689;01/08/2018;1200;0;;21.6;;;;;;
82689;02/08/2018;0000;;34.6;;10.8;6;27.82;65.25;1.833333;
82689;02/08/2018;1200;0;;23.5;;;;;;
82689;03/08/2018;0000;;34.8;;10.8;6.1;25.86;68.75;2.566667;
82689;03/08/2018;1200;0;;20.9;;;;;;
82689;04/08/2018;0000;;34;;10.4;5.6;25.58;69.25;1.366667;
82689;04/08/2018;1200;0;;20.8;;;;;;
82689;05/08/2018;0000;;35.2;;10.9;5.5;26.62;69.25;2;
82689;05/08/2018;1200;0;;19.1;;;;;;
82689;06/08/2018;0000;;35;;10.9;5.8;27;65.5;2.233333;
82689;06/08/2018;1200;0;;21.2;;;;;;
82689;07/08/2018;0000;;35.3;;10.8;6.9;26.44;74.25;1.6;
82689;07/08/2018;1200;0;;19.4;;;;;;
82689;08/08/2018;0000;;35.4;;10.8;6.1;28.58;48.75;3;
82689;08/08/2018;1200;0;;21.3;;;;;;
82689;09/08/2018;0000;;35.2;;11;8.3;26.44;68.5;1.566667;
82689;09/08/2018;1200;0;;20.2;;;;;;
82689;10/08/2018;0000;;35;;9.7;5.9;26.8;69.5;2.033333;
82689;10/08/2018;1200;0;;20.3;;;;;;
82689;11/08/2018;0000;;35.2;;10.8;5.6;26.44;66.5;2.9;
82689;11/08/2018;1200;0;;21.9;;;;;;
82689;12/08/2018;0000;;35.7;;10.4;5.2;26.52;66;1.966667;
82689;12/08/2018;1200;0;;19.9;;;;;;
82689;13/08/2018;0000;;34.4;;8.1;4.8;27.02;79.5;2;
82689;13/08/2018;1200;0;;23.8;;;;;;
82689;14/08/2018;0000;;34.8;;10.5;5.7;27.18;68.5;2.233333;
82689;14/08/2018;1200;0;;22.8;;;;;;
82689;15/08/2018;0000;;35;;10.9;7.2;26.18;69;2.366667;
82689;15/08/2018;1200;0;;20.8;;;;;;
